epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,26.5313,1.36288,3.08199,1.36356,0.64383,0.51162,0.64239,0.43015,1.10203,2.80095,1.04999,0.00032219,0.00032219,0.00032219
2,49.1708,1.15773,1.55099,1.21578,0.71036,0.80819,0.88174,0.60122,1.12631,1.51381,1.06442,0.000649001,0.000649001,0.000649001
3,71.4465,1.06789,1.04013,1.15083,0.88639,0.87313,0.95468,0.68616,1.0132,1.16176,0.98413,0.000969212,0.000969212,0.000969212
4,93.0918,0.99973,0.88785,1.09125,0.95102,0.88023,0.968,0.72473,0.9135,0.95578,0.99318,0.001078,0.001078,0.001078
5,114.973,0.96023,0.82453,1.07997,0.95222,0.96208,0.98578,0.73655,0.95184,0.91265,1.02949,0.001067,0.001067,0.001067
6,136.735,0.9745,0.78919,1.08271,0.99275,0.98134,0.99469,0.74319,0.89813,0.75941,1.04655,0.00105601,0.00105601,0.00105601
7,158.272,0.93194,0.76309,1.06835,0.97691,0.9816,0.99415,0.7748,0.82737,0.71762,1.00566,0.00104501,0.00104501,0.00104501
8,179.975,0.90951,0.72438,1.06057,0.98855,0.99427,0.995,0.78197,0.8249,0.68761,1.01315,0.00103401,0.00103401,0.00103401
9,201.838,0.91128,0.71157,1.04619,0.98583,0.97969,0.995,0.78001,0.80381,0.67337,0.9926,0.00102301,0.00102301,0.00102301
10,223.675,0.89641,0.68538,1.03853,0.98856,0.99515,0.99455,0.78177,0.78956,0.60554,0.98027,0.00101201,0.00101201,0.00101201
11,245.195,0.86463,0.66145,1.03235,0.99105,0.98851,0.99368,0.79592,0.77698,0.59739,0.9668,0.00100101,0.00100101,0.00100101
12,266.686,0.85811,0.65055,1.03462,0.97715,0.98431,0.99303,0.78684,0.79077,0.60704,0.97187,0.000990012,0.000990012,0.000990012
13,288.681,0.84394,0.64908,1.01676,0.98824,0.98942,0.9943,0.77662,0.80929,0.59134,0.97943,0.000979013,0.000979013,0.000979013
14,310.864,0.83637,0.61542,1.01074,0.99707,0.99377,0.99494,0.79959,0.75948,0.58801,0.97111,0.000968014,0.000968014,0.000968014
15,332.899,0.80868,0.5983,0.9988,0.99181,0.99033,0.9944,0.79591,0.75824,0.57888,0.9703,0.000957015,0.000957015,0.000957015
16,354.677,0.82777,0.59682,1.01229,0.99306,0.99216,0.99437,0.7997,0.7593,0.54947,0.95887,0.000946016,0.000946016,0.000946016
17,376.736,0.80638,0.58652,1.0028,0.99474,0.99216,0.99463,0.78846,0.79562,0.55305,0.96839,0.000935018,0.000935018,0.000935018
18,398.516,0.82486,0.58765,1.00711,0.98896,0.98862,0.99417,0.80078,0.75124,0.54416,0.96375,0.000924019,0.000924019,0.000924019
19,420.133,0.81346,0.58619,1.01553,0.99321,0.99105,0.99448,0.80098,0.75353,0.54555,0.95717,0.00091302,0.00091302,0.00091302
20,442.063,0.80569,0.57048,1.01315,0.99418,0.99165,0.99458,0.80627,0.73703,0.52492,0.96316,0.000902021,0.000902021,0.000902021
21,463.957,0.80387,0.55878,0.99812,0.99534,0.9902,0.9947,0.80061,0.73768,0.50768,0.96756,0.000891022,0.000891022,0.000891022
22,485.77,0.78845,0.55033,0.99548,0.9913,0.98712,0.99425,0.7989,0.74324,0.51724,0.96315,0.000880023,0.000880023,0.000880023
23,507.952,0.79691,0.55487,1.00966,0.98957,0.98824,0.99363,0.79467,0.76157,0.52042,0.97547,0.000869024,0.000869024,0.000869024
24,529.918,0.79665,0.54312,0.99451,0.99069,0.96471,0.99039,0.79655,0.7423,0.51986,0.95979,0.000858025,0.000858025,0.000858025
25,551.441,0.7839,0.54161,0.9869,0.96319,0.99412,0.99043,0.80015,0.75096,0.50275,0.96489,0.000847026,0.000847026,0.000847026
26,573.396,0.79708,0.54112,1.00734,0.99405,0.97931,0.99317,0.80553,0.74312,0.47877,0.96572,0.000836027,0.000836027,0.000836027
27,596.237,0.79835,0.5362,1.00199,0.9888,0.98758,0.99396,0.80613,0.75787,0.50803,0.95435,0.000825029,0.000825029,0.000825029
28,618.522,0.78073,0.51592,0.98346,0.9895,0.98382,0.99322,0.80957,0.73115,0.47773,0.95767,0.00081403,0.00081403,0.00081403
29,640.622,0.77604,0.50887,0.98573,0.98729,0.98215,0.99304,0.80453,0.72997,0.46413,0.97165,0.000803031,0.000803031,0.000803031
30,662.714,0.78162,0.50727,0.99508,0.98962,0.98824,0.99438,0.81162,0.73535,0.46067,0.96808,0.000792032,0.000792032,0.000792032
31,684.548,0.78363,0.5054,0.98747,0.98438,0.98728,0.99329,0.80551,0.74399,0.4641,0.96602,0.000781033,0.000781033,0.000781033
32,706.411,0.77127,0.50365,0.98271,0.99281,0.98731,0.99315,0.814,0.72748,0.45703,0.97006,0.000770034,0.000770034,0.000770034
33,728.378,0.78745,0.5048,1.00066,0.9914,0.98482,0.994,0.8152,0.72373,0.44944,0.95772,0.000759035,0.000759035,0.000759035
34,749.931,0.77046,0.49843,0.99633,0.98334,0.97647,0.99141,0.80717,0.71658,0.44746,0.95428,0.000748036,0.000748036,0.000748036
35,771.961,0.78905,0.5015,1.00315,0.96349,0.99608,0.99142,0.8015,0.74693,0.46631,0.95882,0.000737037,0.000737037,0.000737037
36,794.927,0.77766,0.49193,0.99046,0.98158,0.97773,0.99164,0.80216,0.74045,0.44355,0.97521,0.000726038,0.000726038,0.000726038
37,817.468,0.76542,0.47956,0.9856,0.9763,0.98335,0.99122,0.80103,0.73493,0.4344,0.97192,0.00071504,0.00071504,0.00071504
38,839.342,0.75925,0.48293,0.98861,0.98835,0.9878,0.99351,0.80916,0.70355,0.41759,0.95795,0.000704041,0.000704041,0.000704041
39,861.085,0.74956,0.46711,0.98402,0.9827,0.98627,0.99332,0.80815,0.71652,0.41775,0.95185,0.000693042,0.000693042,0.000693042
40,882.939,0.75166,0.46529,0.97704,0.99233,0.98431,0.99388,0.79733,0.73714,0.42843,0.96316,0.000682043,0.000682043,0.000682043
41,904.48,0.75373,0.46544,0.98577,0.98541,0.9897,0.99402,0.80495,0.72875,0.42023,0.96819,0.000671044,0.000671044,0.000671044
42,926.104,0.74911,0.45884,0.97607,0.99324,0.98824,0.99427,0.80929,0.72143,0.40217,0.95898,0.000660045,0.000660045,0.000660045
